"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"95"	"95"	"0.977777777777778"	"0.974683544303797"	"1"	"8.09408388950912"	"C2CD2|25966"	"CAT|847"	"COL17A1|1308"	"OTUD1|220213"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"SLC19A1|6573"	"TRAF1|7185"
"96"	"96"	"1"	"1"	"1"	"7.76869394193731"	"KIF11|3832"	"MVD|4597"	"PYCR1|5831"	"RDX|5962"	"RTKN2|219790"	"TEP1|7011"	"TMPRSS4|56649"	"TREM1|54210"
"97"	"97"	"1"	"1"	"1"	"6.80000604939654"	"EPAS1|2034"	"FERMT1|55612"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"98"	"98"	"0.977777777777778"	"0.974683544303797"	"1"	"9.12787652593192"	"COL10A1|1300"	"EPAS1|2034"	"ISLR|3671"	"JAK3|3718"	"PFKL|5211"	"PYCR1|5831"	"SLC19A1|6573"	"STX12|23673"
"99"	"99"	"0.988888888888889"	"1"	"0.909090909090909"	"7.90354922873352"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"100"	"100"	"0.988888888888889"	"0.987341772151899"	"1"	"7.56347705392205"	"ABCC3|8714"	"DGKA|1606"	"EPAS1|2034"	"IDE|3416"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"TSPO|706"
"101"	"101"	"1"	"1"	"1"	"7.28656180866951"	"CD101|9398"	"FERMT1|55612"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"102"	"102"	"1"	"1"	"1"	"7.59467942938156"	"ABCC3|8714"	"DGKA|1606"	"LASP1|3927"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"
"103"	"103"	"1"	"1"	"1"	"8.26784606330361"	"ARL4A|10124"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"104"	"104"	"1"	"1"	"1"	"7.41777887647438"	"ADAM8|101"	"CCL19|6363"	"CD101|9398"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"URB1|9875"
